character	initial	final	tone	roman	ascii	pretty	no-emc-data
菈	l	am	3	lamˈ	lam3	lap	
菉	l	ug	3	lugˈ	lug3	luk	
菊	k	ug	3	kugˈ	kug3	kuk	
菋	m	i	2	miˉ	mi2	mi	
菌	kxv	rn	1	kxvrnˊ	kxvrn1	kxvŕn	
菍	n	im	3	nimˈ	nim3	nip	
菎	kxv	rn	0	kxvrnˋ	kxvrn0	kxvr̀n	
菏	k	o	0	koˋ	ko0	kò	
菏	h	o	0	hoˋ	ho0	hò	
菐	d	ug	3	dugˈ	dug3	duk	
菑	ṭ	i	0	ṭiˋ	tji0	ṭì	!
菑	q	i	0	qiˋ	qi0	qì	!
菑	ṭ	oj	0	ṭojˋ	tjoj0	ṭòj	!
菒	k	ov	1	kovˊ	kov1	kóv	
菓	kv	o	1	kvoˊ	kvo1	kvó	
菔	w	ug	3	wugˈ	wug3	wuk	
菔	b	ag	3	bagˈ	bag3	bak	
菕	l	on	0	lonˋ	lon0	lòn	
菖	ṭx	ơg	0	ṭxơgˋ	txjeog0	ṭxờg	
菗	ḍ	rv	0	ḍrvˋ	djrv0	ḍr̀v	
菘	s	ug	0	sugˋ	sug0	sùg	
菙	ḍ	uj	0	ḍujˋ	djuj0	ḍùj	
菚	ḍ	an	2	ḍanˉ	djan2	ḍan	!
菛	m	un	0	munˋ	mun0	mùn	!
菜	ŧx	oj	2	ŧxojˉ	tsxoj2	ŧxoj	
菜	ŧx	oj	1	ŧxojˊ	tsxoj1	ŧxój	
菝	b	rn	3	brnˈ	brn3	brt	
菞	l	rj	0	lrjˋ	lrj0	lr̀j	!
菟	tx	ov	2	txovˉ	txov2	txov	
菟	d	ov	0	dovˋ	dov0	dòv	
菠	p	o	0	poˋ	po0	pò	!
菡	h	am	1	hamˊ	ham1	hám	
菢	b	ov	2	bovˉ	bov2	bov	
菣	qj	rn	2	qjrnˉ	qjrn2	qjrn	
菤	k	yn	1	kynˊ	kyn1	kýn	
菥	s	ig	3	sigˈ	sig3	sik	
菦	c	rn	0	crnˋ	crn0	cr̀n	
菧	t	rj	1	trjˊ	trj1	tŕj	!
菨	ŧ	im	3	ŧimˈ	tsim3	ŧip	
菩	b	ov	0	bovˋ	bov0	bòv	
菪	d	og	2	dogˉ	dog2	dog	!
菫	k	rn	1	krnˊ	krn1	kŕn	!
菫	k	rn	2	krnˉ	krn2	krn	!
菬	đ	iv	0	đivˋ	dziv0	đìv	
菭	d	oj	0	dojˋ	doj0	dòj	
菮	k	rg	0	krgˋ	krg0	kr̀g	!
華	hv	a	0	hvaˋ	hva0	hvà	
華	qv	a	1	qvaˊ	qva1	qvá	
華	hv	a	2	hvaˉ	hva2	hva	
華	xv	a	0	xvaˋ	xva0	xvà	
菰	k	u	0	kuˋ	ku0	kù	
菱	l	ig	0	ligˋ	lig0	lìg	
菲	fx	i	1	fxiˊ	fxi1	fxí	
菲	fx	i	0	fxiˋ	fxi0	fxì	
菳	c	rn	0	crnˋ	crn0	cr̀n	
菴	q	om	0	qomˋ	qom0	qòm	
菵	m	og	1	mogˊ	mog1	móg	
菶	p	ug	1	pugˊ	pug1	púg	
菷	ṭ	rv	1	ṭrvˊ	tjrv1	ṭŕv	!
菷	ṭ	av	1	ṭavˊ	tjav1	ṭáv	!
菸	q	in	0	qinˋ	qin0	qìn	
菹	ṭ	y	0	ṭyˋ	tjy0	ṭỳ	
菺	k	in	0	kinˋ	kin0	kìn	
菻	l	rm	1	lrmˊ	lrm1	lŕm	
菻	l	rm	0	lrmˋ	lrm0	lr̀m	
菼	tx	am	1	txamˊ	txam1	txám	
菽	ẓ	ug	3	ẓugˈ	zjug3	ẓuk	
菾	d	im	0	dimˋ	dim0	dìm	
菿	t	ov	2	tovˉ	tov2	tov	
萀	xv	u	1	xvuˊ	xvu1	xvú	
萁	c	i	0	ciˋ	ci0	cì	
萁	k	i	0	kiˋ	ki0	kì	
萂	v	o	0	voˋ	vo0	vò	!
萃	z	uj	2	zujˉ	zuj2	zuj	
萄	d	ov	0	dovˋ	dov0	dòv	
萄	tx	ov	1	txovˊ	txov1	txóv	
萅	ṭx	on	0	ṭxonˋ	txjon0	ṭxòn	!
萆	p	rj	2	prjˉ	prj2	prj	
萆	p	i	0	piˋ	pi0	pì	
萆	b	i	2	biˉ	bi2	bi	
萇	ḍ	ơg	0	ḍơgˋ	djeog0	ḍờg	
萈	h	un	0	hunˋ	hun0	hùn	
萉	w	rj	2	wrjˉ	wrj2	wrj	
萊	l	oj	0	lojˋ	loj0	lòj	
萋	ŧx	rj	0	ŧxrjˋ	tsxrj0	ŧxr̀j	
萌	m	rg	0	mrgˋ	mrg0	mr̀g	
萌	m	ag	0	magˋ	mag0	màg	
萍	b	ig	0	bigˋ	big0	bìg	
萎	qv	i	1	qviˊ	qvi1	qví	
萎	qv	i	0	qviˋ	qvi0	qvì	
萏	d	am	2	damˉ	dam2	dam	
萐	ṣ	am	3	ṣamˈ	sjam3	ṣap	
萑	h	un	0	hunˋ	hun0	hùn	
萑	tx	uj	0	txujˋ	txuj0	txùj	
萒		in	1	inˊ	in1	ín	
萓		i	0	iˋ	i0	ì	!
萔	d	iv	0	divˋ	div0	dìv	!
萕	ḍ	rj	1	ḍrjˊ	djrj1	ḍŕj	!
萖	k	un	0	kunˋ	kun0	kùn	!
萗	ṭx	ag	3	ṭxagˈ	txjag3	ṭxak	!
萘	n	oj	2	nojˉ	noj2	noj	!
萙	ṭ	rm	1	ṭrmˊ	tjrm1	ṭŕm	!
萛	ṣ	yn	2	ṣynˉ	sjyn2	ṣyn	!
萜	tx	im	3	tximˈ	txim3	txip	!
萞	p	ej	0	pejˋ	pej0	pèj	!
萟	g	rj	2	grjˉ	grj2	grj	!
萠	b	rg	0	brgˋ	brg0	br̀g	!
萡	b	og	3	bogˈ	bog3	bok	!
萢	px	av	0	pxavˋ	pxav0	pxàv	!
萣	d	ig	2	digˉ	dig2	dig	!
萩	ŧx	rv	0	ŧxrvˋ	tsxrv0	ŧxr̀v	
萪	xv	o	0	xvoˋ	xvo0	xvò	
萫	x	ơg	2	xơgˉ	xeog2	xơg	
萬	m	an	2	manˉ	man2	man	
萭		y	1	yˊ	y1	ý	
萭	k	y	1	kyˊ	ky1	ký	
萮		y	0	yˋ	y0	ỳ	
萯	w	u	2	wuˉ	wu2	wu	
萰	l	in	2	linˉ	lin2	lin	
萱	x	yn	0	xynˋ	xyn0	xỳn	
萲	x	yn	0	xynˋ	xyn0	xỳn	!
萳	n	am	1	namˊ	nam1	nám	
萴	ṭ	rg	3	ṭrgˈ	tjrg3	ṭrk	
萵	qv	o	0	qvoˋ	qvo0	qvò	!
萶	ṭx	on	1	ṭxonˊ	txjon1	ṭxón	!
萷	ṣ	iv	0	ṣivˋ	sjiv0	ṣìv	!
萷	ṣ	og	3	ṣogˈ	sjog3	ṣok	!
萸		y	0	yˋ	y0	ỳ	
萹	px	in	0	pxinˋ	pxin0	pxìn	
萹	p	in	0	pinˋ	pin0	pìn	
萹	p	in	1	pinˊ	pin1	pín	
萺	m	ov	2	movˉ	mov2	mov	
萻	qj	rm	0	qjrmˋ	qjrm0	qjr̀m	!
萼	g	og	3	gogˈ	gog3	gok	
落	l	og	3	logˈ	log3	lok	
落	ql	og	3	qlogˈ	qlog3	qlok	
落	l	aj	2	lajˉ	laj2	laj	
萾		ig	0	igˋ	ig0	ìg	!
萿	kx	un	3	kxunˈ	kxun3	kxut	
葀	kx	un	3	kxunˈ	kxun3	kxut	
葁	k	ơg	0	kơgˋ	keog0	kờg	!
葂	m	in	1	minˊ	min1	mín	!
葃	đ	og	3	đogˈ	dzog3	đok	
葄	ḍ	ov	2	ḍovˉ	djov2	ḍov	!
葅	ṭ	ơj	0	ṭơjˋ	tjeoj0	ṭờj	!
葆	p	ov	1	povˊ	pov1	póv	
葇	ṇ	rv	0	ṇrvˋ	njrv0	ṇr̀v	
葈	ṣ	aj	1	ṣajˊ	sjaj1	ṣáj	!
葉		im	3	imˈ	im3	ip	
葉	ṣ	im	3	ṣimˈ	sjim3	ṣip	
葊	q	rm	0	qrmˋ	qrm0	qr̀m	!
葋	c	y	0	cyˋ	cy0	cỳ	
葌	k	an	0	kanˋ	kan0	kàn	
葍	f	ug	3	fugˈ	fug3	fuk	
葍	w	ug	3	wugˈ	wug3	wuk	
葎	l	on	3	lonˈ	lon3	lot	
葏	ŧ	in	0	ŧinˋ	tsin0	ŧìn	
葐	b	un	0	bunˋ	bun0	bùn	
葑	f	ug	0	fugˋ	fug0	fùg	
葑	w	ug	2	wugˉ	wug2	wug	
葒	h	ug	0	hugˋ	hug0	hùg	
葓	h	ug	0	hugˋ	hug0	hùg	
葔	h	rv	0	hrvˋ	hrv0	hr̀v	
葕		in	0	inˋ	in0	ìn	!
葖	d	rn	3	drnˈ	drn3	drt	
著	ṭ	y	2	ṭyˉ	tjy2	ṭy	
著	ḍ	ơg	3	ḍơgˈ	djeog3	ḍơk	
著	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	
葘	ṭ	i	0	ṭiˋ	tji0	ṭì	
葙	s	ơg	0	sơgˋ	seog0	sờg	
葚	ẓ	rm	2	ẓrmˉ	zjrm2	ẓrm	
葚	ẓ	rm	0	ẓrmˋ	zjrm0	ẓr̀m	
葛	k	on	3	konˈ	kon3	kot	
葜	kx	in	3	kxinˈ	kxin3	kxit	!
葜	h	rn	3	hrnˈ	hrn3	hrt	!
葝	c	ig	0	cigˋ	cig0	cìg	
葞	m	i	1	miˊ	mi1	mí	
葟	hv	og	0	hvogˋ	hvog0	hvòg	
葠	ṣ	rm	0	ṣrmˋ	sjrm0	ṣr̀m	!
葡	b	ov	0	bovˋ	bov0	bòv	!
葢	k	oj	2	kojˉ	koj2	koj	!
葢	kx	oj	2	kxojˉ	kxoj2	kxoj	!
葢	x	rm	3	xrmˈ	xrm3	xrp	!
葢	h	rm	3	hrmˈ	hrm3	hrp	!
葢	k	rm	3	krmˈ	krm3	krp	!
董	t	ug	1	tugˊ	tug1	túg	
葤	ḍ	rv	2	ḍrvˉ	djrv2	ḍrv	
葥	ŧ	in	2	ŧinˉ	tsin2	ŧin	
葦	v	i	1	viˊ	vi1	ví	
葧	b	un	3	bunˈ	bun3	but	!
葨	q	uj	0	qujˋ	quj0	qùj	
葩	p	a	0	paˋ	pa0	pà	
葩	px	a	0	pxaˋ	pxa0	pxà	
葪	k	rj	2	krjˉ	krj2	krj	!
葪	k	aj	2	kajˉ	kaj2	kaj	!
葫	h	u	0	huˋ	hu0	hù	
葬	ŧ	og	2	ŧogˉ	tsog2	ŧog	
葭	k	a	0	kaˋ	ka0	kà	
葮	d	yn	2	dynˉ	dyn2	dyn	!
葯	j	og	3	jogˈ	jog3	jok	
葯	qj	og	3	qjogˈ	qjog3	qjok	
葰	s	uj	0	sujˋ	suj0	sùj	
葰	ŧ	on	2	ŧonˉ	tson2	ŧon	
葱	ŧx	ug	0	ŧxugˋ	tsxug0	ŧxùg	
葲	đ	yn	0	đynˋ	dzyn0	đỳn	
葳	qv	i	0	qviˋ	qvi0	qvì	
葴	ṭ	rm	0	ṭrmˋ	tjrm0	ṭr̀m	
葵	cv	i	0	cviˋ	cvi0	cvì	
葵	kxv	i	1	kxviˊ	kxvi1	kxví	
葶	d	ig	0	digˋ	dig0	dìg	
葷	xv	rn	0	xvrnˋ	xvrn0	xvr̀n	
葸	s	aj	1	sajˊ	saj1	sáj	
葹	ṣ	i	0	ṣiˋ	sji0	ṣì	
葺	ŧx	rm	3	ŧxrmˈ	tsxrm3	ŧxrp	
葻	l	am	0	lamˋ	lam0	làm	
葼	ŧ	ug	0	ŧugˋ	tsug0	ŧùg	
葽	q	iv	0	qivˋ	qiv0	qìv	
葾	q	yn	0	qynˋ	qyn0	qỳn	
葿	m	i	0	miˋ	mi0	mì	
蒀	qv	rn	0	qvrnˋ	qvrn0	qvr̀n	
蒁	v	rn	3	vrnˈ	vrn3	vrt	!
蒂	t	rj	2	trjˉ	trj2	trj	!
蒃	ẓ	yn	2	ẓynˉ	zjyn2	ẓyn	!
蒄	k	un	0	kunˋ	kun0	kùn	!
蒅		im	1	imˊ	im1	ím	!
蒆	ṭ	ug	3	ṭugˈ	tjug3	ṭuk	!
蒈	kx	aj	1	kxajˊ	kxaj1	kxáj	!
蒊	f	a	0	faˋ	fa0	fà	!
蒍	qv	i	1	qviˊ	qvi1	qví	!
蒎	px	aj	2	pxajˉ	pxaj2	pxaj	!
蒏	v	ig	2	vigˉ	vig2	vig	!
蒐	ṣ	rv	0	ṣrvˋ	sjrv0	ṣr̀v	
蒐	ṣ	rv	1	ṣrvˊ	sjrv1	ṣŕv	
蒑	qj	rn	0	qjrnˋ	qjrn0	qjr̀n	!
蒒	ṣ	i	0	ṣiˋ	sji0	ṣì	
蒓	ẓ	on	0	ẓonˋ	zjon0	ẓòn	
蒔	ẓ	i	0	ẓiˋ	zji0	ẓì	
蒔	ṣ	i	1	ṣiˊ	sji1	ṣí	
蒔	ẓ	i	2	ẓiˉ	zji2	ẓi	
蒕	qv	rn	0	qvrnˋ	qvrn0	qvr̀n	!
蒖	ṭ	rn	0	ṭrnˋ	tjrn0	ṭr̀n	
蒗	l	og	2	logˉ	log2	log	
蒘	n	y	0	nyˋ	ny0	nỳ	
蒙	m	ug	0	mugˋ	mug0	mùg	
蒙	qm	ug	1	qmugˊ	qmug1	qmúg	
蒚	l	ig	3	ligˈ	lig3	lik	
蒛	kx	yn	3	kxynˈ	kxyn3	kxyt	
蒜	s	yn	2	synˉ	syn2	syn	
蒝	g	yn	0	gynˋ	gyn0	gỳn	
蒞	l	ej	2	lejˉ	lej2	lej	!
蒟	k	y	1	kyˊ	ky1	ký	
蒠	s	ig	3	sigˈ	sig3	sik	
蒡	b	og	0	bogˋ	bog0	bòg	
蒡	p	og	1	pogˊ	pog1	póg	
蒡	b	og	2	bogˉ	bog2	bog	
蒢	ḍ	y	0	ḍyˋ	djy0	ḍỳ	
蒣	ḍ	ơj	0	ḍơjˋ	djeoj0	ḍờj	!
蒤	d	ov	0	dovˋ	dov0	dòv	
蒥	l	rv	0	lrvˋ	lrv0	lr̀v	
蒦	v	og	3	vogˈ	vog3	vok	!
蒧	t	im	1	timˊ	tim1	tím	!
蒨	z	in	2	zinˉ	zin2	zin	
蒩	ŧ	ov	0	ŧovˋ	tsov0	ŧòv	
蒪	px	og	3	pxogˈ	pxog3	pxok	
蒫	đ	o	0	đoˋ	dzo0	đò	
蒬	q	yn	0	qynˋ	qyn0	qỳn	
蒭	ṭx	o	0	ṭxoˋ	txjo0	ṭxò	!
蒮	j	ug	3	jugˈ	jug3	juk	
蒯	kv	aj	1	kvajˊ	kvaj1	kváj	
蒰	b	un	0	bunˋ	bun0	bùn	!
蒱	b	ov	0	bovˋ	bov0	bòv	
蒲	b	ov	0	bovˋ	bov0	bòv	
蒲	b	og	3	bogˈ	bog3	bok	
蒳	n	am	3	namˈ	nam3	nap	
蒴	ṣ	og	3	ṣogˈ	sjog3	ṣok	
蒵	h	rj	0	hrjˋ	hrj0	hr̀j	
蒶	w	rn	0	wrnˋ	wrn0	wr̀n	!
蒷	v	rn	0	vrnˋ	vrn0	vr̀n	!
蒸	ṭ	ig	0	ṭigˋ	tjig0	ṭìg	
蒹	k	im	0	kimˋ	kim0	kìm	
蒺	đ	rn	3	đrnˈ	dzrn3	đrt	
蒻	ṇ	og	3	ṇogˈ	njog3	ṇok	
蒼	ŧx	og	0	ŧxogˋ	tsxog0	ŧxòg	
蒼	ŧx	og	1	ŧxogˊ	tsxog1	ŧxóg	
蒽	qj	rn	0	qjrnˋ	qjrn0	qjr̀n	!
蒾	m	rj	0	mrjˋ	mrj0	mr̀j	!
蒿	x	ov	0	xovˋ	xov0	xòv	
蓀	s	yn	0	synˋ	syn0	sỳn	
蓁	ṭ	on	0	ṭonˋ	tjon0	ṭòn	
蓂	m	ig	0	migˋ	mig0	mìg	
蓃	ṣ	rv	0	ṣrvˋ	sjrv0	ṣr̀v	!
蓄	ṭx	ug	3	ṭxugˈ	txjug3	ṭxuk	
蓅	l	rv	0	lrvˋ	lrv0	lr̀v	!
蓆	đ	ig	3	đigˈ	dzig3	đik	
蓆	đ	eg	3	đegˈ	dzeg3	đek	
蓇	kv	rn	3	kvrnˈ	kvrn3	kvrt	
蓈	l	og	0	logˋ	log0	lòg	
蓉	j	ug	0	jugˋ	jug0	jùg	
蓊	qj	ug	1	qjugˊ	qjug1	qjúg	
蓋	k	oj	2	kojˉ	koj2	koj	
蓋	kx	oj	2	kxojˉ	kxoj2	kxoj	
蓋	x	om	3	xomˈ	xom3	xop	
蓋	h	om	3	homˈ	hom3	hop	
蓋	k	om	3	komˈ	kom3	kop	
蓌	ṭx	o	2	ṭxoˉ	txjo2	ṭxo	!
蓍	ṣ	i	0	ṣiˋ	sji0	ṣì	
蓎	d	og	0	dogˋ	dog0	dòg	
蓏	ql	o	1	qloˊ	qlo1	qló	
蓐	ṇ	ug	3	ṇugˈ	njug3	ṇuk	
蓑	s	o	0	soˋ	so0	sò	
蓒	x	in	0	xinˋ	xin0	xìn	
蓓	b	uj	1	bujˊ	buj1	búj	
蓓	b	uj	0	bujˋ	buj0	bùj	
蓔		iv	1	ivˊ	iv1	ív	!
蓕	kv	i	2	kviˉ	kvi2	kvi	!
蓖	p	ej	0	pejˋ	pej0	pèj	
蓖	b	ej	2	bejˉ	bej2	bej	
蓗	ṭ	ug	1	ṭugˊ	tjug1	ṭúg	!
蓘	kv	rn	1	kvrnˊ	kvrn1	kvŕn	
蓙	ḍ	o	2	ḍoˉ	djo2	ḍo	!
蓚	d	iv	0	divˋ	div0	dìv	!
蓛	ṭx	ig	3	ṭxigˈ	txjig3	ṭxik	!
蓜	px	uj	2	pxujˉ	pxuj2	pxuj	!
蓞	d	am	2	damˉ	dam2	dam	!
蓡	ṣ	rm	0	ṣrmˋ	sjrm0	ṣr̀m	!
蓢	l	og	1	logˊ	log1	lóg	!
蓤	l	ig	0	ligˋ	lig0	lìg	!
蓧	d	iv	2	divˉ	div2	div	
蓨	tx	iv	0	txivˋ	txiv0	txìv	
蓨	d	iv	0	divˋ	div0	dìv	
蓩	m	ov	2	movˉ	mov2	mov	
蓪	tx	ug	0	txugˋ	txug0	txùg	
蓫	ḍ	ug	3	ḍugˈ	djug3	ḍuk	
蓬	b	ug	0	bugˋ	bug0	bùg	
蓬	w	ug	0	wugˋ	wug0	wùg	
蓭	q	rm	0	qrmˋ	qrm0	qr̀m	!
蓮	l	in	0	linˋ	lin0	lìn	
蓮	ql	in	1	qlinˊ	qlin1	qlín	
蓯	ŧx	ug	0	ŧxugˋ	tsxug0	ŧxùg	
蓰	ṣ	aj	1	ṣajˊ	sjaj1	ṣáj	!
蓱	b	ig	0	bigˋ	big0	bìg	
蓲	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	
蓳	c	rn	0	crnˋ	crn0	cr̀n	!
蓴	ẓ	on	0	ẓonˋ	zjon0	ẓòn	
蓵	ḍ	in	3	ḍinˈ	djin3	ḍit	!
蓶	v	i	0	viˋ	vi0	vì	
蓷	tx	uj	0	txujˋ	txuj0	txùj	
蓸	đ	ov	0	đovˋ	dzov0	đòv	
蓹		y	2	yˉ	y2	y	!
蓺	g	rj	2	grjˉ	grj2	grj	
蓻	ŧx	rm	3	ŧxrmˈ	tsxrm3	ŧxrp	
蓼	l	iv	1	livˊ	liv1	lív	
蓼	l	ug	3	lugˈ	lug3	luk	
蓽	p	rn	3	prnˈ	prn3	prt	
蓾	l	ov	1	lovˊ	lov1	lóv	
蓿	s	ug	3	sugˈ	sug3	suk	
蔀	b	ov	2	bovˉ	bov2	bov	
蔁	ṭ	ơg	0	ṭơgˋ	tjeog0	ṭờg	
蔂	l	ơj	0	lơjˋ	leoj0	lờj	!
蔃	kx	ơg	1	kxơgˊ	kxeog1	kxớg	!
蔃	k	ơg	1	kơgˊ	keog1	kớg	!
蔄	m	an	2	manˉ	man2	man	
蔅		in	0	inˋ	in0	ìn	!
蔆	l	ig	0	ligˋ	lig0	lìg	
蔇	k	i	2	kiˉ	ki2	ki	
蔈	p	iv	0	pivˋ	piv0	pìv	
蔉	kv	rn	1	kvrnˊ	kvrn1	kvŕn	!
蔊	x	on	1	xonˊ	xon1	xón	
蔊	h	on	2	honˉ	hon2	hon	
蔋	d	ig	3	digˈ	dig3	dik	
蔌	ŧx	ug	3	ŧxugˈ	tsxug3	ŧxuk	
蔍	l	ug	3	lugˈ	lug3	luk	
蔎	ṭx	in	3	ṭxinˈ	txjin3	ṭxit	
蔏	ṣ	ơg	0	ṣơgˋ	sjeog0	ṣờg	
蔐	d	ig	3	digˈ	dig3	dik	!
蔑	m	in	3	minˈ	min3	mit	
蔒	f	rn	0	frnˋ	frn0	fr̀n	!
蔓	m	an	2	manˉ	man2	man	
蔓	m	an	0	manˋ	man0	màn	
蔔	b	ag	3	bagˈ	bag3	bak	
蔕	t	rj	2	trjˉ	trj2	trj	
蔖	đ	o	0	đoˋ	dzo0	đò	
蔗	ṭ	e	2	ṭeˉ	tje2	ṭe	
蔘	s	om	0	somˋ	som0	sòm	
蔙	ẓ	yn	2	ẓynˉ	zjyn2	ẓyn	!
蔚	qv	i	2	qviˉ	qvi2	qvi	
蔚	qv	rn	3	qvrnˈ	qvrn3	qvrt	
蔛	h	ug	3	hugˈ	hug3	huk	
蔜	g	ov	0	govˋ	gov0	gòv	
蔝	m	rj	1	mrjˊ	mrj1	mŕj	
蔞	l	rv	0	lrvˋ	lrv0	lr̀v	
蔞	ql	rv	0	qlrvˋ	qlrv0	qlr̀v	
蔞	l	rv	1	lrvˊ	lrv1	lŕv	
蔟	ŧx	ug	3	ŧxugˈ	tsxug3	ŧxuk	
蔟	ŧx	rv	2	ŧxrvˉ	tsxrv2	ŧxrv	
蔟	ŧx	ơg	3	ŧxơgˈ	tsxeog3	ŧxơk	
蔠	ṭ	ug	0	ṭugˋ	tjug0	ṭùg	
蔡	ŧx	oj	2	ŧxojˉ	tsxoj2	ŧxoj	
蔢	b	o	0	boˋ	bo0	bò	
蔣	ŧ	ơg	0	ŧơgˋ	tseog0	ŧờg	
蔣	ŧ	ơg	1	ŧơgˊ	tseog1	ŧớg	
蔤	m	rn	3	mrnˈ	mrn3	mrt	
蔥	ṭx	ug	0	ṭxugˋ	txjug0	ṭxùg	!
蔦	n	iv	1	nivˊ	niv1	nív	
蔧	z	uj	2	zujˉ	zuj2	zuj	
蔧	v	i	2	viˉ	vi2	vi	
蔨	c	yn	2	cynˉ	cyn2	cyn	
蔩	j	rn	0	jrnˋ	jrn0	jr̀n	
蔪	đ	im	2	đimˉ	dzim2	đim	
蔫	q	in	0	qinˋ	qin0	qìn	
蔬	ṣ	o	0	ṣoˋ	sjo0	ṣò	
蔭	qj	rm	0	qjrmˋ	qjrm0	qjr̀m	
蔭	qj	rm	2	qjrmˉ	qjrm2	qjrm	
蔮	kv	og	3	kvogˈ	kvog3	kvok	
蔯	ḍ	rn	0	ḍrnˋ	djrn0	ḍr̀n	!
蔰		u	2	uˉ	u2	u	!
蔱	ṣ	an	3	ṣanˈ	sjan3	ṣat	
蔲	kx	rv	2	kxrvˉ	kxrv2	kxrv	!
蔳	ẓ	in	2	ẓinˉ	zjin2	ẓin	!
蔴	m	a	0	maˋ	ma0	mà	!
蔵	ḍ	og	0	ḍogˋ	djog0	ḍòg	!
蔶	ṭ	ag	3	ṭagˈ	tjag3	ṭak	!
蔸	t	rv	0	trvˋ	trv0	tr̀v	!
蔻	kx	rv	2	kxrvˉ	kxrv2	kxrv	
蔽	p	rj	2	prjˉ	prj2	prj	
蔾	l	rj	0	lrjˋ	lrj0	lr̀j	
蔿	qv	i	1	qviˊ	qvi1	qví	
蕀	k	ig	3	kigˈ	kig3	kik	
蕁	d	am	0	damˋ	dam0	dàm	
蕁	ḍ	om	0	ḍomˋ	djom0	ḍòm	
蕁	ḍ	im	0	ḍimˋ	djim0	ḍìm	
蕂	ṣ	ig	2	ṣigˉ	sjig2	ṣig	
蕃	w	an	0	wanˋ	wan0	wàn	
蕃	f	an	0	fanˋ	fan0	fàn	
蕄	m	rg	0	mrgˋ	mrg0	mr̀g	
蕅	g	rv	1	grvˊ	grv1	gŕv	
蕆	ṭx	in	1	ṭxinˊ	txjin1	ṭxín	
蕆	ṭ	in	1	ṭinˊ	tjin1	ṭín	
蕇	t	in	1	tinˊ	tin1	tín	
蕈	đ	rm	1	đrmˊ	dzrm1	đŕm	
蕈	s	on	2	sonˉ	son2	son	
蕈	d	am	0	damˋ	dam0	dàm	
蕉	ŧ	iv	0	ŧivˋ	tsiv0	ŧìv	
蕉	đ	iv	0	đivˋ	dziv0	đìv	
蕊	ṇ	oj	1	ṇojˊ	njoj1	ṇój	
蕊	ṇ	oj	2	ṇojˉ	njoj2	ṇoj	
蕋	j	oj	1	jojˊ	joj1	jój	!
蕋	j	oj	2	jojˉ	joj2	joj	!
蕌	l	ơj	1	lơjˊ	leoj1	lớj	!
蕍		y	0	yˋ	y0	ỳ	
蕎	c	iv	0	civˋ	civ0	cìv	
蕏	ḍ	y	0	ḍyˋ	djy0	ḍỳ	!
蕏	ṭ	y	0	ṭyˋ	tjy0	ṭỳ	!
蕐	v	a	0	vaˋ	va0	và	!
蕑	k	an	0	kanˋ	kan0	kàn	
蕒	m	aj	1	majˊ	maj1	máj	
蕓	v	rn	0	vrnˋ	vrn0	vr̀n	
蕔	p	ov	0	povˋ	pov0	pòv	!
蕕	j	rv	0	jrvˋ	jrv0	jr̀v	
蕖	c	y	0	cyˋ	cy0	cỳ	
蕗	l	ov	2	lovˉ	lov2	lov	!
蕘	ṇ	iv	0	ṇivˋ	njiv0	ṇìv	
蕙	hv	i	2	hviˉ	hvi2	hvi	
蕚	g	og	3	gogˈ	gog3	gok	!
蕛	d	rj	0	drjˋ	drj0	dr̀j	
蕜	f	ej	1	fejˊ	fej1	féj	!
蕝	đ	yn	3	đynˈ	dzyn3	đyt	
蕝	ŧ	yn	3	ŧynˈ	tsyn3	ŧyt	
蕞	ŧ	uj	2	ŧujˉ	tsuj2	ŧuj	
蕟	f	an	3	fanˈ	fan3	fat	!
蕠		y	0	yˋ	y0	ỳ	!
蕡	w	rn	0	wrnˋ	wrn0	wr̀n	
蕢	cv	i	2	cviˉ	cvi2	cvi	
蕣	ṣ	on	2	ṣonˉ	sjon2	ṣon	
蕤	ṇ	oj	2	ṇojˉ	njoj2	ṇoj	
蕤	ṇ	oj	0	ṇojˋ	njoj0	ṇòj	
蕥	g	a	1	gaˊ	ga1	gá	!
蕦	s	y	0	syˋ	sy0	sỳ	
蕧	fx	ug	3	fxugˈ	fxug3	fxuk	
蕧	w	ug	3	wugˈ	wug3	wuk	
蕨	kx	yn	3	kxynˈ	kxyn3	kxyt	
蕩	d	og	2	dogˉ	dog2	dog	
蕪	m	ov	0	movˋ	mov0	mòv	
蕫	t	ug	1	tugˊ	tug1	túg	
蕬	s	i	0	siˋ	si0	sì	
蕭	s	iv	0	sivˋ	siv0	sìv	
蕮	s	ig	3	sigˈ	sig3	sik	
蕯	ṣ	an	3	ṣanˈ	sjan3	ṣat	!
蕰	qv	rn	0	qvrnˋ	qvrn0	qvr̀n	
蕱	ṣ	av	1	ṣavˊ	sjav1	ṣáv	!
蕳	k	an	0	kanˋ	kan0	kàn	!
蕵	s	yn	0	synˋ	syn0	sỳn	
蕶	l	ig	0	ligˋ	lig0	lìg	
蕷		y	2	yˉ	y2	y	
蕸	h	a	0	haˋ	ha0	hà	
蕹	q	ug	2	qugˉ	qug2	qug	!
蕺	ṭx	rm	3	ṭxrmˈ	txjrm3	ṭxrp	
蕻	h	ug	0	hugˋ	hug0	hùg	
蕻	h	ug	2	hugˉ	hug2	hug	
