character	initial	final	tone	roman	ascii	pretty	no-emc-data
㔪	l	ov	1	lovˊ	lov1	lóv	
㔫	l	ug	0	lugˋ	lug0	lùg	!
㔬	ṭx	ơg	3	ṭxơgˈ	txjeog3	ṭxơk	!
㔭	ḍ	i	0	ḍiˋ	dji0	ḍì	!
㔮	n	o	0	noˋ	no0	nò	
㔯	z	yn	0	zynˋ	zyn0	zỳn	
㔰	h	rg	0	hrgˋ	hrg0	hr̀g	!
㔱		y	0	yˋ	y0	ỳ	!
㔲	kv	i	1	kviˊ	kvi1	kví	
㔳	kv	i	1	kviˊ	kvi1	kví	!
㔴		ig	3	igˈ	ig3	ik	
㔵	ṣ	yn	1	ṣynˊ	sjyn1	ṣýn	!
㔶	k	ug	2	kugˉ	kug2	kug	
㔷	l	rv	2	lrvˉ	lrv2	lrv	!
㔸	tx	rj	0	txrjˋ	txrj0	txr̀j	
㔹	l	rg	3	lrgˈ	lrg3	lrk	
㔺	ṣ	rj	2	ṣrjˉ	sjrj2	ṣrj	!
㔻	px	i	0	pxiˋ	pxi0	pxì	
㔼	ṣ	on	1	ṣonˊ	sjon1	ṣón	!
㔽	j	rv	1	jrvˊ	jrv1	jŕv	!
㔾	ṭx	im	0	ṭximˋ	txjim0	ṭxìm	!
㔿	ṭ	rv	2	ṭrvˉ	tjrv2	ṭrv	!
㕀	qv	i	2	qviˉ	qvi2	qvi	!
㕁	kx	ơg	3	kxơgˈ	kxeog3	kxơk	!
㕂	j	rm	0	jrmˋ	jrm0	jr̀m	!
㕃	kx	rj	0	kxrjˋ	kxrj0	kxr̀j	!
㕄	ṭ	i	1	ṭiˊ	tji1	ṭí	!
㕅	k	am	3	kamˈ	kam3	kap	!
㕆	h	u	2	huˉ	hu2	hu	
㕇	l	am	3	lamˈ	lam3	lap	
㕈	q	i	1	qiˊ	qi1	qí	
㕉	h	rm	3	hrmˈ	hrm3	hrp	!
㕊	p	ov	0	povˋ	pov0	pòv	
㕋	c	rm	0	crmˋ	crm0	cr̀m	
㕌	g	oj	2	gojˉ	goj2	goj	!
㕍	t	ơj	0	tơjˋ	teoj0	tờj	!
㕎	h	om	3	homˈ	hom3	hop	
㕏	ḍ	y	0	ḍyˋ	djy0	ḍỳ	!
㕐	ṣ	e	1	ṣeˊ	sje1	ṣé	!
㕑	ḍ	y	0	ḍyˋ	djy0	ḍỳ	!
㕑	ḍ	ơj	0	ḍơjˋ	djeoj0	ḍờj	!
㕒	g	rj	0	grjˋ	grj0	gr̀j	
㕓	ḍ	in	0	ḍinˋ	djin0	ḍìn	!
㕔	tx	eg	0	txegˋ	txeg0	txèg	!
㕔	tx	ig	0	txigˋ	txig0	txìg	!
㕕	v	an	2	vanˉ	van2	van	!
㕖	ṣ	ov	2	ṣovˉ	sjov2	ṣov	!
㕗	j	rv	1	jrvˊ	jrv1	jŕv	!
㕘	ṭx	am	0	ṭxamˋ	txjam0	ṭxàm	!
㕘	ṣ	am	0	ṣamˋ	sjam0	ṣàm	!
㕘	ṣ	am	2	ṣamˉ	sjam2	ṣam	!
㕘	ṣ	rm	0	ṣrmˋ	sjrm0	ṣr̀m	!
㕘	ṭx	rm	0	ṭxrmˋ	txjrm0	ṭxr̀m	!
㕙	ŧ	on	2	ŧonˉ	tson2	ŧon	
㕚	ṭ	av	1	ṭavˊ	tjav1	ṭáv	
㕛	j	rv	1	jrvˊ	jrv1	jŕv	
㕜	ṣ	i	1	ṣiˊ	sji1	ṣí	!
㕝	ẓ	i	2	ẓiˉ	zji2	ẓi	!
㕞	ṭx	an	3	ṭxanˈ	txjan3	ṭxat	
㕟	qv	i	1	qviˊ	qvi1	qví	
㕠	ṣ	ơg	0	ṣơgˋ	sjeog0	ṣờg	!
㕠	ṣ	ug	0	ṣugˋ	sjug0	ṣùg	!
㕡	kx	og	3	kxogˈ	kxog3	kxok	
㕢	h	aj	2	hajˉ	haj2	haj	
㕣		in	1	inˊ	in1	ín	
㕤	c	rv	0	crvˋ	crv0	cr̀v	!
㕥		i	1	iˊ	i1	í	!
㕦	hv	a	2	hvaˉ	hva2	hva	
㕧	ṣ	i	0	ṣiˋ	sji0	ṣì	
㕨	w	an	2	wanˉ	wan2	wan	!
㕩	px	og	2	pxogˉ	pxog2	pxog	!
㕪	t	rm	1	trmˊ	trm1	tŕm	!
㕫	f	ug	0	fugˋ	fug0	fùg	!
㕬	ṭ	ug	0	ṭugˋ	tjug0	ṭùg	
㕭	q	av	2	qavˉ	qav2	qav	
㕭	q	iv	0	qivˋ	qiv0	qìv	
㕭	qj	av	0	qjavˋ	qjav0	qjàv	
㕮	f	u	1	fuˊ	fu1	fú	
㕯	n	on	3	nonˈ	non3	not	
㕰	x	og	3	xogˈ	xog3	xok	
㕱	j	rv	0	jrvˋ	jrv0	jr̀v	!
㕲	qm	ug	3	qmugˈ	qmug3	qmuk	!
㕳	x	ug	0	xugˋ	xug0	xùg	!
㕴	ṣ	rm	1	ṣrmˊ	sjrm1	ṣŕm	!
㕵	kv	og	3	kvogˈ	kvog3	kvok	!
㕶	g		2	gˉ	g2	g	!
㕶	g		0	gˋ	g0	g̀	!
㕷	qv	ag	3	qvagˈ	qvag3	qvak	!
㕸	ql	rm	3	qlrmˈ	qlrm3	qlrp	!
㕹	w	rn	3	wrnˈ	wrn3	wrt	!
㕺	x	iv	0	xivˋ	xiv0	xìv	!
㕻	tx	rv	2	txrvˉ	txrv2	txrv	!
㕼	x	ug	0	xugˋ	xug0	xùg	!
㕽	ḍ	i	1	ḍiˊ	dji1	ḍí	!
㕾	ṣ	iv	1	ṣivˊ	sjiv1	ṣív	!
㕿	v	o	0	voˋ	vo0	vò	!
㖀	l	on	3	lonˈ	lon3	lot	!
㖁	l	on	2	lonˉ	lon2	lon	!
㖂	j	rj	2	jrjˉ	jrj2	jrj	!
㖃	x	rv	1	xrvˊ	xrv1	xŕv	
㖄	ṭ	rv	0	ṭrvˋ	tjrv0	ṭr̀v	!
㖅	s	on	3	sonˈ	son3	sot	
㖆	kx	ug	3	kxugˈ	kxug3	kxuk	!
㖇		i	0	iˋ	i0	ì	!
㖈	l	ov	1	lovˊ	lov1	lóv	!
㖉	c	ej	1	cejˊ	cej1	céj	!
㖋	k	aj	2	kajˉ	kaj2	kaj	!
㖌	ẓ	rv	0	ẓrvˋ	zjrv0	ẓr̀v	!
㖍	t	rv	1	trvˊ	trv1	tŕv	!
㖎	k	aj	2	kajˉ	kaj2	kaj	!
㖏	n	in	3	ninˈ	nin3	nit	
㖐	v	i	1	viˊ	vi1	ví	!
㖑	x	aj	2	xajˉ	xaj2	xaj	
㖒	d	rj	0	drjˋ	drj0	dr̀j	
㖓	h	ug	0	hugˋ	hug0	hùg	!
㖔	tx	rn	2	txrnˉ	txrn2	txrn	!
㖕	ṣ	rn	0	ṣrnˋ	sjrn0	ṣr̀n	!
㖖	g	on	3	gonˈ	gon3	got	!
㖗	j	rm	0	jrmˋ	jrm0	jr̀m	!
㖘	ṣ	on	1	ṣonˊ	sjon1	ṣón	
㖘	ṣ	rn	1	ṣrnˊ	sjrn1	ṣŕn	
㖙	k	a	0	kaˋ	ka0	kà	!
㖚	w	u	2	wuˉ	wu2	wu	!
㖛	k	u	1	kuˊ	ku1	kú	!
㖜	q	ig	0	qigˋ	qig0	qìg	!
㖝	m	ej	2	mejˉ	mej2	mej	!
㖟	ẓ	rv	2	ẓrvˉ	zjrv2	ẓrv	
㖠	n	a	1	naˊ	na1	ná	!
㖡	j	e	2	jeˉ	je2	je	!
㖡		e	2	eˉ	e2	e	!
㖢	ṭx	i	0	ṭxiˋ	txji0	ṭxì	!
㖣	tx	rv	2	txrvˉ	txrv2	txrv	!
㖤	h	am	0	hamˋ	ham0	hàm	!
㖥	ql	on	0	qlonˋ	qlon0	qlòn	
㖦	t	ug	1	tugˊ	tug1	túg	!
㖧	f	rn	0	frnˋ	frn0	fr̀n	!
㖧	m	rn	1	mrnˊ	mrn1	mŕn	!
㖨	l	ug	3	lugˈ	lug3	luk	!
㖩	ŧ	y	0	ŧyˋ	tsy0	ŧỳ	
㖪	v	ag	3	vagˈ	vag3	vak	
㖫	l	ig	0	ligˋ	lig0	lìg	!
㖬	ṣ	rv	0	ṣrvˋ	sjrv0	ṣr̀v	!
㖭	tx	im	0	tximˋ	txim0	txìm	!
㖮	l	on	0	lonˋ	lon0	lòn	!
㖯	d	ug	0	dugˋ	dug0	dùg	!
㖰	d	ug	0	dugˋ	dug0	dùg	!
㖱	j	e	2	jeˉ	je2	je	!
㖲		y	0	yˋ	y0	ỳ	!
㖳		y	1	yˊ	y1	ý	!
㖴	m	rn	1	mrnˊ	mrn1	mŕn	!
㖵	k	on	3	konˈ	kon3	kot	!
㖶	q	in	0	qinˋ	qin0	qìn	!
㖷	ẓ	i	0	ẓiˋ	zji0	ẓì	
㖸	ql	a	0	qlaˋ	qla0	qlà	!
㖹	px	rn	2	pxrnˉ	pxrn2	pxrn	!
㖺	ṭx	on	1	ṭxonˊ	txjon1	ṭxón	!
㖻	n	rv	0	nrvˋ	nrv0	nr̀v	!
㖼	m	rv	0	mrvˋ	mrv0	mr̀v	!
㖽	ṭ	ag	3	ṭagˈ	tjag3	ṭak	!
㖾	g	og	3	gogˈ	gog3	gok	!
㖿	j	e	1	jeˊ	je1	jé	!
㗀	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	!
㗁	g	og	3	gogˈ	gog3	gok	
㗂	ṣ	ag	1	ṣagˊ	sjag1	ṣág	!
㗃	m	rn	1	mrnˊ	mrn1	mŕn	!
㗄	kx	u	0	kxuˋ	kxu0	kxù	!
㗅		u	0	uˋ	u0	ù	!
㗆	k	ag	3	kagˈ	kag3	kak	!
㗇	x	a	0	xaˋ	xa0	xà	!
㗇	ch	a	1	chaˊ	cha1	chá	!
㗈	m	an	2	manˉ	man2	man	!
㗉	l	ơg	3	lơgˈ	leog3	lơk	
㗊	l	ơj	0	lơjˋ	leoj0	lờj	
㗋	h	rv	0	hrvˋ	hrv0	hr̀v	!
㗌	ṭ	rn	3	ṭrnˈ	tjrn3	ṭrt	!
㗍	ṭ	aj	0	ṭajˋ	tjaj0	ṭàj	!
㗎	k	a	2	kaˉ	ka2	ka	!
㗎	ch	a	0	chaˋ	cha0	chà	!
㗎	k	a	1	kaˊ	ka1	ká	!
㗏	qv	aj	0	qvajˋ	qvaj0	qvàj	!
㗐	x	am	3	xamˈ	xam3	xap	!
㗑	p	aj	2	pajˉ	paj2	paj	!
㗒	q	oj	0	qojˋ	qoj0	qòj	!
㗓	ṭ	ơj	0	ṭơjˋ	tjeoj0	ṭờj	!
㗔	x	in	0	xinˋ	xin0	xìn	
㗕	k	rv	2	krvˉ	krv2	krv	
