character	initial	final	tone	mc
誻	d	am	3	dop
誻	ŧ	am	3	dop
誼	g	i	0	gie2
誼	g	i	2	gie2
誽	g	rj	2	nre0
誾	g	rn	0	gin0
調	d	iv	2	deu0,triu0,deu2
調	t	iv	1	deu0,triu0,deu2
調	d	iv	0	deu0,triu0,deu2
諀	ꝑ	i	1	ꝑje1
諁	ţ	yn	3	
諂	ŧj	im	1	ŧriem1
諃	ṯ	rm	0	
諄	tj	on	0	ţjyn0,ţjyn2
諄	t	on	0	ţjyn0,ţjyn2
諅	c	i	2	ki0,ţi2
諆	x	i	0	ki0
談	d	am	0	dam0
諈	tj	uj	2	trye2
諉	qv	i	1	nrye2
諊	k	ug	3	kiuk
請	ṯ	ig	1	ḑieg0,ṯieg1,ḑieg2
請	ṯ	eg	1	ḑieg0,ṯieg1,ḑieg2
諌	t	ug	1	
諍	tj	ag	2	ţreg2
諍	tj	rg	2	ţreg2
諍	tj	ag	0	ţreg2
諍	tj	rg	0	ţreg2
諎	ţ	ag	3	ṯua2,ţrak
諏	ţ	rv	0	ţyo0
諐	ꝁ	in	0	ꝁien0
諑	t	wg	3	truk
諒	l	wg	2	liag2
諒	l	wg	0	liag2
諓	ţ	in	2	ḑien1,ḑien2
諓	ţ	in	1	ḑien1,ḑien2
諔	ṯ	ug	3	
諕	x	ag	3	xruak
論	l	on	2	lyn0,luon0,luon2
論	l	on	0	lyn0,luon0,luon2
諗	sj	rm	1	sjim1
諗	qn	rm	1	sjim1
諘	p	iv	1	
諙	v	a	2	
諚	b	in	0	
諛		y	0	jyo0
諜	d	im	3	dep
諝	s	wj	0	sio0,sio1
諝	s	wj	1	sio0,sio1
諞	b	in	0	bjen0,bien1,bjen1
諞	b	in	1	bjen0,bien1,bjen1
諟	zj	i	2	ḑje1
諠	x	yn	0	xyan0
諡	sj	i	2	zjii2
諢	gv	rn	2	guon2
諣	xv	a	2	xrue2,xrua2
諤	g	og	3	gak
諥	tj	ug	2	tryug2
諦	t	rj	2	te2
諧	h	aj	0	xrai0
諨	pv	ug	3	
諩	ꝑ	ov	1	
諪	d	ig	0	
諫	k	an	2	kran2
諬	ꝁ	rj	1	
諭		y	2	jyo2
諮	ţ	i	0	ţii0
諯	ţ	yn	0	ţjyen0,ḑjyen0,ṯjyen2,ṯyen2
諰	s	aj	1	sre0,si1
諰	s	i	1	sre0,si1
諱	v	i	1	xyoi2
諲	qj	rn	0	qjin0
諳	q	om	0	qom0
諳	qg	om	0	qom0
諳	q	om	1	qom0
諴	h	am	0	xrem0
諵	n	am	0	nrem0,nrem2
諶	zj	rm	0	ḑjim0
諷	pv	ug	2	piug2
諸	tj	y	0	ţjo0,ţja0
諹	j	og	0	jag0,jag2
諺	g	in	2	gien2
諻	v	og	0	xruag0
諼	x	yn	0	xyan0,xyan1
諽	k	ag	3	ꝁrek,krek
諾	n	og	3	nak
諿	ṯ	rm	3	ṯip
謀	m	rv	0	miu0
謁	q	in	3	qiat
謁	ꝁ	in	3	qiat
謂	hv	i	2	yoi2
謃	s	ig	0	
謄	d	rg	0	dog0
謅	tj	rv	0	ṯriu0,ṯrau1
謅	tj	rv	2	ṯriu0,ṯrau1
謆	s	in	2	
謇	k	in	1	kien1
謇	x	in	0	kien1
謈	b	og	3	bruk,ꝑruk
謉	cv	i	1	tuai1,kyi2
謊	pv	og	0	
謊	pv	og	1	
謋	v	ag	3	xruak
謌	k	o	0	ka0
謍		ig	0	xruag0,qrueg0,jyeg0
謍	kv	rg	0	xruag0,qrueg0,jyeg0
謎	m	rj	0	me2
謏	s	iv	1	seu1,su2,sriuk
謏	s	rv	1	seu1,su2,sriuk
謐	m	rn	3	mjit
謑	h	rj	1	xe1,xre2,xra2
謒	ṯ	wg	0	
謓	ŧj	rn	0	ṯjin0
謔	j	og	3	xiak
謕	d	rj	0	sie0,de0,ŧe0
謖	sj	ug	3	sriuk
謗	ꝑ	og	2	pag2
謘	dj	i	0	drii0,drii2
謙	ꝁ	im	0	ꝁem0
謚	sj	i	2	zjii2,qjek
講	k	og	1	krug1
謜	g	yn	0	gyan0,ṯyen0
謝	ḑ	e	2	zia2
謞	h	og	3	xruk,xak
謟	ŧ	ov	0	ŧau0
謠		iv	0	jeu0
謢		u	2	
謣	h	y	0	yo0
謤	p	iv	0	
謥	ṯ	ug	2	
謦	ꝁ	ig	2	ꝁeg1
謧	l	i	0	lie0,le0
謨	m	ov	0	mo0
謩	m	ov	0	
謪	s	wg	0	
謫	dj	ag	3	trek
謬	m	rv	2	my2
謭	ţ	in	1	
謮	tj	ag	3	ţrek
謯	ţ	e	0	ţia0,ţra1
謰	l	in	0	
謱	l	rv	0	lu0,lyo1,lu1
謱	l	ov	0	lu0,lyo1,lu1
謱	l	wj	1	lu0,lyo1,lu1
謲	ṯ	om	2	ṯom2
謳	q	rv	0	qu0
謴	kv	rn	2	kuon2
謵	dj	am	3	ṯjep
謶	tj	wg	3	ţjak
謷	g	ov	0	grau0,gau0,gau2
謷	g	ov	2	grau0,gau0,gau2
謸	g	ov	2	
謹	k	rn	1	kion1
謺	tj	im	3	ţjep
謻		i	0	je0
謻	ŧj	i	1	je0
謼	xv	u	0	xo0,xo2
謽	c	wg	1	
謾	m	an	0	muan0,mran0,mjen0,muan2,mran2
謾	m	an	2	muan0,mran0,mjen0,muan2,mran2
謿	ţ	av	0	
譀	h	om	2	xam2,xram2,xrap
譁	xv	a	0	xrua0
譂	ṯ	in	1	
譃		y	0	
譄	ţ	rg	0	ţog0
譅	s	rm	3	
譆	x	i	0	xi0
譇	ţ	a	0	
譈	d	uj	2	duai2
證	tj	ig	2	ţjig2
譊	n	av	0	nrau0
譊	x	iv	0	nrau0
譋	l	an	0	
譌	g	o	0	gua0
譍	q	ig	0	qig2
譍	q	ig	2	qig2
譎	ꝁ	yn	3	kuet
譎	kv	rn	3	kuet
譏	k	i	0	kioi0
譐	ţ	yn	1	ţuon1
譑	k	iv	1	kieu1,ꝁieu2
譒	p	o	2	pua2
譓	hv	i	2	xue2
譔	ḑ	an	2	ṯyen0,ḑryen1,ḑryen2
譔	ţ	an	2	ṯyen0,ḑryen1,ḑryen2
譕	m	ov	0	myo0
譖	tj	rm	2	ţrim2
譖	ŧj	rm	2	ţrim2
譗	ţ	am	3	
識	sj	ig	3	ţji2,sjik
識	tj	i	2	ţji2,sjik
譙	ḑ	iv	0	ḑieu0
譙	ṯ	iv	2	ḑieu0
譚	d	am	0	dom0,dom1
譛	ţ	rm	2	
譜	ꝑ	ov	1	po1
譝	zj	ig	0	zjig0
譞	x	yn	0	xjyen0
譟	ṯ	ov	2	sau2
譠	ŧ	an	0	ŧan0,tren0
譡	t	og	1	tag2
譢	z	uj	2	syi2
譣	x	im	1	ṯiem0,xiem1
譤	k	ig	3	
譥	k	iv	2	keu2
警	k	ig	1	kieg1
譧	tj	am	0	drem2
譨	n	ug	0	
譩	q	i	0	qi0,qi1
譪	q	oj	1	
譫	tj	im	0	dap,ţj'ap
譬	ꝑ	i	2	ꝑje2
譭	xv	i	1	xye1
譮	v	a	2	xrai2
譯		ig	3	jek
議	g	i	1	gie2
譱	zj	in	2	ḑjen1
譳	n	rv	2	nu2
譴	ꝁ	in	1	ꝁjen2
譵	d	wj	2	
譶	d	am	3	drip,dop
護	hv	u	2	xo2
譸	tj	rv	0	triu0
譹	x	ag	3	
譺	g	aj	2	gi1,gi2,grai2
譻	q	ig	0	qreg0
譼	k	am	0	
譽		y	2	jo0,jo2
譾	ţ	in	1	
譿	v	i	2	
讀	d	ug	3	duk
讀	d	rv	2	duk
讁	dj	ag	3	trek
讂	k	yn	2	xuen2,kuen2
讃	ţ	an	2	ţan2
讄	l	uj	1	lyi1
讅	s	rm	1	
讆	v	i	2	
讇	ŧj	im	1	ŧriem1
讈	l	ig	3	
讉	v	i	0	
變	p	in	2	pien2
讋	sj	im	3	ţjep
讋	tj	im	3	ţjep
讌	q	in	2	qen2
讍	g	og	3	
讎	dj	rv	0	ḑju0
讎	zj	rv	0	ḑju0
讏	hv	i	2	yed0
讐	ḑ	rv	0	
讐	z	rv	0	
讑		iv	2	jeu2
讒	dj	am	0	ḑrem0,ḑram2
讓	nj	wg	2	njag2
讔	qj	rn	1	
讕	l	an	0	lan0,lan1,lan2
讖	ŧj	rm	2	ṯrim2
讖	ŧj	am	2	ṯrim2
讗	cv	i	0	xue0,kruek
讘	tj	im	3	njep
讙	xv	un	0	xyan0,xuan0
讚	ţ	an	2	
讚	ţ	an	1	
讛	g	rj	2	
讜	t	og	1	tag1
讝	ţ	im	0	
讞	g	in	2	gien1,giet
讟	d	ug	3	duk
谷	k	ug	3	kuk,luk,jyuk
谷	j	ug	3	kuk,luk,jyuk
谷	l	ug	3	kuk,luk,jyuk
谸	ṯ	in	0	ṯen0
谹	v	rg	0	
谺	x	a	0	xra0
谻	k	ig	3	kiek
谼	h	ug	0	xug0
谽	h	om	0	xom0
谾	x	ug	0	xug0,xrug0
谿	ꝁ	rj	0	ꝁe0
豀	h	rj	0	
豀	ꝁ	rj	0	
豁	ꝁ	un	3	xuat
豁	xv	a	0	xuat
豁	v	ag	3	xuat
豂	l	iv	0	leu0
豃	x	am	1	xram1
豄	d	ug	3	duk
豅	l	ug	0	lug0
豆	d	rv	2	du2
豆	t	rv	1	du2
豆	dh	rv	0	du2
豇	k	og	0	krug0
豈	ꝁ	i	1	ꝁioi1
豈	ꝁ	oj	1	ꝁioi1
豉	zj	i	2	ḑje2
豉	sj	i	1	ḑje2
豋	t	rg	0	
豌	qv	un	0	quan0
豌	qv	un	1	quan0
豍	p	rj	0	pe0
豎	zj	y	2	ḑjyo1
豏	h	am	1	xrem1
豐	ꝑv	ug	0	ꝑiug0
豑	d	in	3	drit
豒	d	in	3	
豓		im	2	
豔		im	2	jem2
豕	ŧj	i	1	sje1
豖	ŧj	ug	3	ŧryuk
豗	xv	uj	0	xuai0
豘	d	yn	0	duon0
豙	g	rj	2	gi2,gioi2
豚	d	yn	0	duon0
豛		ig	3	jyek
豜	k	in	0	ken0,gen2
豝	p	a	0	pra0
豞	ꝁ	rv	2	xu2
豟	q	rg	3	qrek
豠	dj	o	0	ḑrio0
象	ḑ	wg	2	ziag1
豢	hv	an	2	xruan2
豣	k	in	0	
豤	ꝁ	rn	1	ꝁuon0,ꝁon1,ꝁen1
豥	k	oj	0	kai0,xai0
豦	k	y	2	ţio0,kio2
豧	ꝑv	u	0	ꝑyo0,ꝑo0,ꝑyo2,ꝑu2
豨	x	i	0	xioi0,xioi1
豩	p	rn	0	
豪	h	ov	0	xau0
豫		y	2	jo2
豬	tj	y	0	trio0
豭	k	a	0	kra0
豯	h	rj	0	xe0
豰	b	og	3	xuk,bruk
豱	qv	rn	0	quon0
豲	h	yn	0	xuan0
豲	hv	un	0	xuan0
豳	p	rn	0	pin0
豴	t	ig	3	
豵	ţ	ug	0	ţug0,ţyug0
豶	bhv	rn	0	byon0
豷	x	rj	2	xyi2,qe2
豸	dj	i	2	drie1,dre1
豸	dj	aj	2	drie1,dre1
豹	ꝑ	av	2	prau2
豺	dj	aj	0	ḑrai0
豻	g	on	2	gan0,ꝁran0,xan2,gan2
豻	h	on	2	gan0,ꝁran0,xan2,gan2
豼	b	i	0	bjii0
豽	n	on	3	nruet
豾	ꝑ	i	0	ꝑii0
豿	k	rv	1	ku1,xruk
貀	n	on	3	nruet
貁	j	rv	2	ju2
貂	t	iv	0	teu0
貃	m	rg	3	
貄	s	i	2	
貅	xj	rv	0	xiu0
貆	hv	un	0	xyan0,xuan0,xuan0
貆	x	yn	0	xyan0,xuan0,xuan0
貆	xv	un	0	xyan0,xuan0,xuan0
貇	x	rn	1	
貈	h	og	3	xak
貈	m	rg	3	xak
貉	h	og	3	xak,mrak
貉	m	rg	3	xak,mrak
貊	m	rg	3	mrak
貋	g	on	2	
貌	m	av	2	mrau2
貍	l	i	0	li0
貎	m	av	2	ge0
貏	p	ej	1	
貐		y	1	jyo1
貑	k	a	0	kra0
貒	ŧ	on	0	ŧuan0,ŧuan2
貓	qm	av	0	mieu0,mrau0
貔	b	i	0	bjii0
貕	h	rj	0	xe0
貖	q	ig	3	qrek
貗	c	y	2	ţyo1
貘	m	rg	3	mrak
貘	m	og	3	mrak
貙	ŧj	wj	0	ŧryo0
貚	d	an	0	dan0,den0
貛	xv	un	0	xuan0
貜	xv	og	3	kyak,ţyak
貝	p	uj	2	pad0
貞	tj	ig	0	trieg0
貟	h	yn	0	yen0,yon2
貟	hv	rn	2	yen0,yon2
負	bv	u	2	biu1
財	ḑ	oj	0	ḑai0
財	ṯ	oj	1	ḑai0
貢	k	ug	2	kug2
貣	ŧ	ig	3	ŧok,dok
貤		i	2	je2,jii2,zjii2
貤		i	0	je2,jii2,zjii2
貥	h	og	0	
貦	gv	un	2	guan2
貧	b	rn	0	bin0
貨	xv	o	2	xua2
販	pv	an	2	pyan2
販	pv	an	1	pyan2
販	bhv	an	1	pyan2
貪	ŧ	am	0	ŧom0
貫	k	un	2	kuan0,kuan2
貫	kv	an	2	kuan0,kuan2
責	tj	ag	3	ţrek
責	tj	aj	2	ţrek
貭	ţ	rn	3	
貮		i	2	
貯	dj	y	1	trio1
貰	sj	rj	2	sjed0,zja2
貱	p	i	2	pie2
貲	ţ	i	0	ţie0
貳	nj	i	2	njii2
貴	kv	i	2	kyoi2
貵	ꝑ	in	1	
貶	p	in	1	piem1
買	m	aj	1	mre1
貸	ŧ	aj	2	ŧai2
貸	ŧ	ig	3	ŧai2
貹	sj	rg	2	srieg2
貺	xv	og	2	xyag2
費	ꝑv	i	2	pii2,ꝑyoi2,byoi2
費	p	i	2	pii2,ꝑyoi2,byoi2
貼	ŧ	im	3	ŧep
貼	ŧ	im	3	ŧep
貽		i	0	ji0
貾	dj	i	0	drii0
貿	m	rv	2	mu2
賀	h	o	2	xa2
賁	p	i	2	byoi0,byon0,puon0,pie2
賁	bhv	rn	0	byoi0,byon0,puon0,pie2
賁	p	rn	0	byoi0,byon0,puon0,pie2
賁	bhv	rn	1	byoi0,byon0,puon0,pie2
賂	l	ov	2	lo2
賃	j	rm	2	nrim2
賄	ꝁ	uj	1	xuai1
賄	xv	uj	1	xuai1
賅	k	oj	0	kai0
賆	b	in	0	ben0
資	ţ	i	0	ţii0
賈	k	a	1	ko1,kra1,kra2
賈	k	a	2	ko1,kra1,kra2
賈	k	u	1	ko1,kra1,kra2
賉	s	on	3	syt
賊	ṯ	ag	3	ḑok
賊	ḑx	ag	3	ḑok
賋	k	av	1	
賌	k	oj	0	
賍	ḑ	og	2	
賎	ḑ	in	2	
賏	q	ig	0	qjeg0,qieg2
賐	s	on	2	
賑	tj	rn	2	ţjin1,ţjin2
賒	sj	e	0	sja0
賓	p	rn	0	
賓	p	rn	2	
賔	p	rn	0	pjin0
賕	c	rv	0	ţiu0
賖	s	e	0	
賗	ṯ	yn	2	
賘	ţ	og	0	
賙	tj	rv	0	ţju0
賚	l	oj	2	lai2
賜	ṯ	i	2	sie2
賝	ŧj	rm	0	ŧrim0
賞	sj	wg	1	sjag1
賟	ŧ	in	1	ŧen1
賠	b	uj	0	
賡	k	rg	0	krag0
賢	h	in	0	xen0
賣	m	aj	2	mre2
賤	ḑ	in	2	ḑien2
賥	z	uj	2	syi2
賦	pv	u	2	pyo2
賧	d	am	2	ŧam2
賨	ḑ	ug	0	ḑuug0
賩	ḑ	ug	0	
質	tj	rn	3	trii2,ţjit
質	tj	i	2	trii2,ţjit
賫	ţ	rj	0	
賫	ḑ	rj	0	
賬	ţ	wg	2	
賭	t	ov	1	to1
賮	ţ	on	1	zin2
賯	x	ig	0	
賰	sj	on	1	sjyn1
賱	qv	rn	1	qyon1
賲	p	ov	1	pau1
賳	ţ	oj	0	
賴	l	aj	2	lad0
賵	ꝑv	ug	2	ꝑiug2
賵	bv	ug	2	ꝑiug2
賶	ṯ	og	2	
賷	ţ	rj	0	ţe0
賷	ḑ	rj	0	ţe0
賸	zj	ig	2	jig2,zjig2
賸	dj	ig	2	jig2,zjig2
賹	j	rn	3	qre2
賺	ḑ	an	2	
賺	ţ	an	1	
賻	bv	u	2	byo2
購	k	rv	2	ku2
購	ꝁ	rv	2	ku2
賽	ṯ	oj	2	sai2
賾	tj	ag	3	ḑrek
賿	l	av	0	lrau0
贀	q	i	2	jye2
贁	b	aj	2	brad0
贂	ṯ	rm	1	
贃	ŧ	an	2	qruan2
贄	tj	i	2	ţjii2
贅	dj	uj	2	ţjyed0
贆	p	iv	0	pjeu0
贇	qv	rn	0	qyn0
贈	ḑ	rg	2	ḑog2
贉	d	am	1	dom1,dom2
贊	ţ	an	2	
贌	d	ug	3	
贍	zj	in	2	ḑjem2
贍	zj	im	2	ḑjem2
贎	m	an	2	myan2
贏		ig	0	jeg0
贏	j	eg	0	jeg0
贐	ţ	on	1	
贑	k	om	2	kom1
贒		in	0	
贓	ţ	og	0	ţag0
贔	p	rj	2	bii2
贔	bx	i	2	bii2
贔	b	i	2	bii2
贕	d	ug	3	duk
贖	zj	ug	3	zjyuk
贖	dj	ug	3	zjyuk
贗	g	an	2	
贗	qg	rn	2	
贘	s	wg	1	
贙	h	yn	1	xuen1,xuen2
贚	l	ug	2	lyug2
贛	k	om	2	kom1,kug2,kom2
贛	k	ug	2	kom1,kug2,kom2
贜	ţ	og	0	
赤	ŧj	eg	3	ṯjek
赤	ŧj	ig	3	ṯjek
赥	x	ig	3	xek
赦	sj	e	2	sja2
赧	n	an	1	nran1
赨	d	ug	0	duug0
赩	sj	ig	3	xik
赫	x	ag	3	xrak
赫	x	rg	3	xrak
赬	ŧj	ig	0	ŧrieg0
赭	tj	e	1	ţja1
赮	h	a	0	xra0
赯	d	og	0	dag0
走	ţ	rv	1	ţu1,ţu2
赱	ţ	rv	1	
赲	l	ig	3	
赳	k	rv	1	ky1
赳	t	rv	1	ky1
赴	bv	u	2	ꝑyo2
起	ꝁ	i	1	ꝁi1
赸	s	an	2	
赹	c	ig	0	ţjyeg0
赺	j	rm	1	
赻	s	in	1	
赼	ţ	i	0	
赽	ꝁ	yn	3	kuet
赾	ꝁj	rn	1	ꝁion1
赿	ḑ	i	0	
趀	ţ	i	0	ṯii0
趁	ŧj	rn	2	drin0,nrien1,ŧrin2
趂	ṯ	rn	2	
趃	d	in	3	det
趄	ţ	wj	0	ṯio0
趄	ṯ	e	2	ṯio0
趄	ṯ	in	3	ṯio0
超	ŧj	iv	0	ŧrieu0
趆	t	rj	0	te0,te2
趇	s	rm	3	
趈	ḑ	am	2	
趉	cv	rn	3	kyot
越	h	yn	3	yat,xuat
趌	k	rn	3	kjit,ꝁjit,ţit,kiet
趌	c	rn	3	kjit,ꝁjit,ţit,kiet
趍	ṯ	uj	0	drie0,ṯyo0
趍	ṯ	ug	3	drie0,ṯyo0
趎	tj	y	0	dryo0
趏	kv	an	3	ꝁrat,kruat
趐	x	yn	3	
趑	ţ	i	0	ṯii0
趒	d	iv	0	ŧeu0,deu0,ŧeu2
趓	t	o	1	
趔	l	in	3	
趕	k	on	1	
趖	s	o	0	sua0
趗	ṯ	ug	3	ṯuk,ṯyuk
趘	h	rn	3	
趙	dj	iv	2	drieu1
趚	s	ug	3	
趛	gj	rm	1	gim1
趜	k	ug	3	kiuk,ţiuk
趝	k	im	2	kem2
趞	ṯ	wg	3	ṯiak
趟	ŧ	og	2	trag0,trag2
趟	ŧ	og	1	trag0,trag2
趟	ŧ	og	0	trag0,trag2
趟	ŧj	ag	0	trag0,trag2
趠	ŧj	wg	3	ŧrau2,ŧruk
趡	ṯ	uj	1	ṯyi1,ḑieu2,ţieu2
趢	l	ug	3	luk,lyuk
趣	ṯ	wj	2	ṯu1,ṯyo2
趣	ṯ	wj	1	ṯu1,ṯyo2
趣	ṯ	ug	3	ṯu1,ṯyo2
趣	ṯ	wj	0	ṯu1,ṯyo2
趤	d	og	2	
趥	ṯ	rv	0	ṯiu0,ṯiug2
趦	ţ	i	0	
趧	d	rj	0	de0
趨	ṯ	wj	0	ṯyo0
趨	ṯ	ug	3	ṯyo0
趩	ŧj	ig	3	ŧrik
趪	hv	og	0	xuag0
趫	c	iv	0	ţieu0,ꝁieu0
趬	ꝁ	iv	0	ꝁjeu0,ꝁieu2
趭	tj	iv	2	jeu2
趮	ṯ	ov	2	ţau2
趯	ŧ	ig	3	ŧek
趯	q	wg	3	ŧek
趯	t	eg	3	ŧek
趰		i	1	
趲	ţ	an	1	ḑan1,ţan2
趲	ţ	an	2	ḑan1,ţan2
足	ţ	ug	3	ţyo2,ţyuk
足	ţ	wj	2	ţyo2,ţyuk
趴	ꝑ	a	0	
趵	ꝑ	av	2	pruk
趵	p	og	3	pruk
趶	pv	u	2	
趷	c	rn	3	
趹	ꝁ	yn	3	kuet
趺	pv	u	0	pyo0
趻	ṯ	rm	1	
趼	k	an	1	gen0,ken1,gen2
趼	k	in	1	gen0,ken1,gen2
趽	pv	og	2	pyag0,bag0,pyag2
趾	tj	i	1	ţji1
趿	ŧ	an	3	sop
趿	s	am	3	sop
趿	ṯ	om	3	sop
跀	g	yn	3	gyat
跀	c	rn	3	gyat
跁	b	a	2	bra1,bra2
跂	c	i	0	ţje0,ꝁje1,ꝁje2
跂	c	i	1	ţje0,ꝁje1,ꝁje2
跅	ŧ	og	3	
跆	d	oj	0	dai0
跇	j	rj	2	jed0,ŧried0
跈	qn	in	1	den1,nen1
跉	l	ig	0	lieg0,leg0
跊	m	uj	2	
跋	b	rn	3	buat
跌	t	in	3	det
跍	ꝁv	u	0	ꝁo0
跎	d	o	0	da0
跏	k	a	0	kra0
跐	ṯ	i	1	ṯie1,ţie1,ţrie1
跐	ṯ	aj	1	ṯie1,ţie1,ţrie1
跑	ꝑ	av	1	brau0,bruk
跑	b	av	0	brau0,bruk
跒	ꝁ	a	1	ꝁra1
跓	dj	y	1	dryo1
跔	ꝁ	y	0	kyo0
跔	c	w	0	kyo0
跕	ŧ	im	3	ŧep,tep
跕	t	im	3	ŧep,tep
跕	d	im	3	ŧep,tep
跕	t	im	1	ŧep,tep
跕	dj	am	2	ŧep,tep
跖	tj	ig	3	ţjek
跖	tj	eg	3	ţjek
跗	pv	u	0	pyo0,byo2
跘	b	un	0	
跙	ţ	wj	1	ḑio1
跙	ţ	wj	0	ḑio1
跚	s	an	0	san0
跛	p	rj	0	pua1,pie2
跛	p	o	1	pua1,pie2
跛	p	i	2	pua1,pie2
跜	n	i	0	nrii0
距	c	y	1	ţio1
跟	k	rn	0	kon0
跠		i	0	jii0
跡	ţ	ig	3	ţiek
跢	t	o	1	tad0,ta2
跣	s	in	1	sen1
跤	k	av	0	ꝁrau0
跤	ꝁ	av	0	ꝁrau0
跥	t	o	1	
跦	tj	y	0	tryo0
跧	ḑ	yn	0	ţyn0,ţruan0,ţryen0
跨	ꝁv	a	2	ꝁrua0,ꝁrua1,ꝁo2,ꝁrua2
跨	ꝁv	a	0	ꝁrua0,ꝁrua1,ꝁo2,ꝁrua2
跩	j	rj	2	
跪	cv	i	2	ꝁye1,ţye1
跫	c	ug	0	ꝁrug0
跬	ꝁv	i	1	ꝁjye1
跭	h	og	0	xrug0
跮	d	in	3	ŧrii2,ŧrit
跮	ŧj	i	2	ŧrii2,ŧrit
路	l	ov	2	lo2
跰	b	in	0	ben0,prag2
跱	dj	i	2	dri1
跱	dj	i	1	dri1
跱	zj	i	2	dri1
跲	k	am	3	krep,kiap,ţiap
跳	ŧ	iv	2	deu0
跳	ŧ	iv	1	deu0
跳	d	iv	0	deu0
跳	d	ov	0	deu0
跴	ṯ	aj	1	
跺	t	o	1	
跼	c	ug	3	ţyuk
跽	c	i	2	ţjii1
跾	s	ug	3	
跿	d	ov	0	
踀	ṯ	ug	3	
踁	h	ig	1	xeg2
踁	k	ig	2	xeg2
踂	n	im	3	nriep
踃	s	iv	0	seu0
踄	b	og	3	bak
踅	ṯ	yn	3	
踅	ḑ	rj	2	
踅	ṯ	i	2	
踆	ḑ	yn	0	ṯyn0
踆	ṯ	yn	0	ṯyn0
踆	s	on	0	ṯyn0
踇	m	ov	1	mu1
踈	sj	o	0	srio0
踉	l	wg	2	liag0,lag0,liag2
踉	l	og	0	liag0,lag0,liag2
踉	l	wg	0	liag0,lag0,liag2
踋	k	wg	3	
踍	x	av	0	
踎	qm	rv	0	
踏	d	am	3	ŧop
踐	ḑ	in	1	ḑien1
踐	ḑ	in	2	ḑien1
踑	k	i	0	ţi0
踑	ꝁ	i	0	ţi0
踒	qv	o	0	qua0
踓	v	i	1	ṯyi1,jyi1
踔	ŧj	wg	3	ŧrau2,ŧruk
踔	d	iv	2	ŧrau2,ŧruk
踕	ḑ	in	3	ḑiep
踖	ţ	ig	3	ṯiak,ţiek,ḑiek
踖	ḑ	ig	3	ṯiak,ţiek,ḑiek
踖	ṯ	ig	3	ṯiak,ţiek,ḑiek
踗	n	im	3	
踘	k	ug	3	kiuk,ţiuk
踙	n	im	3	
踚	l	on	0	lyn0
踛	l	ug	3	liuk
踜	l	ig	2	log2
踝	hv	a	1	xrua1
踞	k	y	2	kio2
踟	dj	i	0	drie0
踠	q	yn	1	qyan1
踡	c	yn	0	ţyen0
踢	ŧ	eg	3	ŧek
踣	b	ag	3	ꝑu2,bok
踤	ţ	on	3	ḑyt
踤	z	wj	2	ḑyt
踥	ṯ	im	3	ṯiep
踦	ꝁ	i	0	ꝁie0,kie1
踦	ꝁ	i	0	ꝁie0,kie1
踦	k	i	0	ꝁie0,kie1
踦	k	i	1	ꝁie0,kie1
踦	ꝁ	i	1	ꝁie0,kie1
踧	ṯ	ug	3	ţiuk,dek
踧	d	ig	3	ţiuk,dek
踨	ţ	ug	0	
踩	ṯ	aj	1	
踪	ţ	ug	0	
踫	ꝑ	ug	2	
踭	ţ	ag	0	
踮	t	im	1	
踰		y	0	jyo0
踱	d	og	3	dak
踲	d	rn	2	
踳	ŧj	on	0	ṯjyn1
踳	ŧj	on	1	ṯjyn1
踳	ŧj	yn	1	ṯjyn1
踴	qj	ug	1	
踵	tj	ug	1	ţjyug1
踵	t	ug	1	ţjyug1
踶	d	rj	2	drie1,de2
踶	d	rj	0	drie1,de2
踶	ŧj	i	1	drie1,de2
踷	ţ	a	1	
踸	ŧj	rm	1	ŧrim1
踹	ŧj	yn	1	ḑjyen1,tuan2
踹	ŧj	aj	1	ḑjyen1,tuan2
踹	qj	aj	1	ḑjyen1,tuan2
踺	c	in	2	
踻	kv	a	0	
踼	d	og	0	dag0,ŧag0,dag2
踼	d	og	2	dag0,ŧag0,dag2
踽	k	y	1	ꝁyo1,kyo1
踾	ꝑv	ug	3	piuk,ꝑik,bik
踿	ţ	ug	3	
蹀	d	im	3	dep
蹁	b	in	0	ben0,pen0
蹁	ꝑ	in	0	ben0,pen0
蹂	nj	rv	0	nju0,nju1,nju2
蹃	n	wg	3	nriak,nruak
蹄	d	rj	0	de0
蹄	ŧ	rj	1	de0
蹄	d	rj	2	de0
蹅	ḑ	a	1	
蹅	ṯ	a	0	
蹆	ŧ	rn	2	
蹇	k	in	1	kian1,kien1
蹇	tj	in	1	kian1,kien1
蹇	x	in	0	kian1,kien1
蹈	d	ov	2	dau2
蹈	ŧ	ov	0	dau2
蹉	ṯ	o	0	ṯa0
蹊	h	rj	0	xe0
蹊	ꝁ	ej	0	xe0
蹊	ꝁ	rj	0	xe0
蹋	d	am	3	dap
蹋	ŧ	am	3	dap
蹌	ṯ	wg	0	ṯiag0
蹌	ṯ	wg	2	ṯiag0
蹍	n	in	1	
蹍	ţ	in	1	
蹎	t	in	0	ten0
蹏	d	rj	0	de0
蹏	d	rj	2	de0
蹐	ţ	ig	3	ţiek
蹐	ţ	eg	3	ţiek
蹓	l	rv	2	
蹓	l	rv	0	
蹔	ḑ	am	2	ḑam2
蹕	p	rn	3	pjit
蹖	tj	ug	0	sjyug0
