character	initial	final	tone	mc
㛐	s	ov	1	sau1
㛑	ṯ	an	2	ṯan2
㛒	d	rv	2	du2
㛓	x	ej	0	
㛔	pv	ug	0	
㛕	qj	rm	3	
㛖	s	o	0	
㛗	ṯ	e	0	sua0,ṯya0
㛘	ꝑ	un	3	ꝑuot
㛙	s	rn	0	
㛚	ŧ	ug	1	
㛛	s	rn	0	
㛜	j	rv	0	
㛝	p	uj	2	
㛞	l	ug	2	
㛟		un	2	
㛡	v	rn	2	
㛢	s	rv	2	
㛥	ŧ	am	3	ŧop
㛦	l	rm	1	
㛧	m	rn	1	mam1
㛨	ꝁ	wg	1	
㛩	ḑ	ug	3	
㛪	q	im	2	qiam2
㛫	s	ig	3	
㛬	l	ug	3	
㛭	s	ig	3	
㛮	s	ov	1	sau1
㛯	pv	an	2	
㛰	pv	rn	0	
㛱	qv	uj	1	quai1
㛲	pv	an	3	
㛳	j	rj	2	jed0
㛴	n	ov	1	nau1
㛵	ṯ	ig	0	
㛶	ŧ	an	2	ŧan2
㛷	k	rj	0	
㛸	z	y	2	
㛹	b	in	0	bjen0
㛺	qj	rm	0	
㛻	qv	aj	0	
㛼	ŧj	am	3	ṯrep
㛽	s	an	0	
㛾	h	am	0	
㜀	s	wg	0	
㜁	ḑ	a	0	
㜂	pv	ug	0	
㜃	ql	yn	1	
㜄	ḑ	rm	0	
㜅	x	ug	3	xiuk
㜆	m	rj	2	
㜇	qv	i	2	qjye2
㜈	m	ug	3	
㜉	qj	ug	0	
㜊	tj	in	1	trien1
㜋	q	ig	3	
㜌	n	rv	1	
㜍	d	og	0	
㜎	h	rj	0	xe0
㜏	v	rn	0	
㜐	z	y	2	
㜑	b	o	0	
㜒	g	rj	2	
㜓	t	am	3	top
㜔	k	ig	1	
㜕	l	in	0	
㜖	ḑ	ov	0	
㜗	ṯ	am	0	ṯom0,ṯom1,ṯop
㜘	ţ	e	0	ţia0
㜙	l	ug	3	
㜚	s	ug	3	
㜛		yn	1	
㜜	g	ov	2	
㜝	g	om	1	gom1
㜞	ṯ	im	2	
㜟	x	am	2	
㜠	ṯ	wj	0	
㜡	ṯ	ug	0	
㜢	l	wj	1	lyo1
㜣	nj	in	0	njen0,sjen1,nen2
㜤	n	im	1	sjim1,nem1
㜥	m	aj	0	
㜦	ḑ	rm	0	
㜧	q	yn	3	
㜨	n	aj	0	
㜩	q	ov	2	
㜪	sj	rn	0	srin0
㜫	m	ej	1	
㜬	t	am	0	
㜭	t	og	0	
㜮	l	am	2	lam2
㜯	x	ej	0	
㜰	j	og	3	jak,sjak
㜱	ţ	rn	3	
㜲		ig	0	jeg0
㜳	hv	aj	0	xruai0
㜴	m	rg	2	
㜵	n	iv	1	neu1
㜶	m	in	1	
